date,dolar,tl_dolar,dolar_kac,dolar_kac_tl,dolar_kuru,dolar_ne_kadar
2005-01-31,1,0,0,0,1,0
2005-02-28,1,0,0,0,1,0
2005-03-31,1,0,0,0,1,0
2005-04-30,1,0,0,0,1,0
2005-05-31,1,0,0,0,1,0
2005-06-30,1,0,0,0,1,0
2005-07-31,1,0,0,0,1,0
2005-08-31,1,0,0,0,1,0
2005-09-30,1,0,0,0,1,0
2005-10-31,1,0,0,0,1,0
2005-11-30,1,0,0,0,1,0
2005-12-31,1,0,0,0,1,0
2006-01-31,1,0,0,0,1,0
2006-02-28,1,0,0,0,1,0
2006-03-31,1,0,0,0,1,0
2006-04-30,1,0,0,0,1,0
2006-05-31,1,0,0,0,1,0
2006-06-30,1,0,1,0,1,0
2006-07-31,1,0,0,0,1,1
2006-08-31,1,0,1,0,1,1
2006-09-30,1,0,1,0,1,1
2006-10-31,1,0,0,0,1,1
2006-11-30,1,0,1,0,1,1
2006-12-31,1,0,0,0,1,1
2007-01-31,1,0,0,0,1,1
2007-02-28,1,0,1,0,1,1
2007-03-31,1,0,1,0,1,1
2007-04-30,1,0,1,0,1,1
2007-05-31,1,0,1,0,1,1
2007-06-30,1,0,1,0,1,1
2007-07-31,1,0,1,0,1,1
2007-08-31,1,0,1,0,1,1
2007-09-30,1,0,1,0,1,1
2007-10-31,1,0,1,0,1,1
2007-11-30,1,0,1,0,1,1
2007-12-31,1,0,1,0,1,1
2008-01-31,1,0,1,0,1,1
2008-02-29,1,0,1,0,1,1
2008-03-31,1,0,1,0,1,1
2008-04-30,1,0,1,0,1,1
2008-05-31,1,0,1,0,1,1
2008-06-30,1,0,1,0,1,1
2008-07-31,1,0,1,0,1,1
2008-08-31,1,0,1,0,1,1
2008-09-30,1,0,1,0,1,1
2008-10-31,2,1,1,0,1,1
2008-11-30,1,0,1,0,1,1
2008-12-31,1,0,1,0,1,1
2009-01-31,1,1,1,1,1,1
2009-02-28,1,1,1,1,1,1
2009-03-31,1,1,1,1,1,1
2009-04-30,1,1,1,1,1,1
2009-05-31,1,1,1,1,1,1
2009-06-30,1,1,1,1,1,1
2009-07-31,1,1,1,1,1,1
2009-08-31,1,1,1,1,1,1
2009-09-30,1,1,1,1,1,1
2009-10-31,1,1,1,1,1,1
2009-11-30,1,1,1,1,1,1
2009-12-31,1,1,1,1,1,1
2010-01-31,1,1,1,1,1,1
2010-02-28,1,1,1,1,1,1
2010-03-31,1,1,1,1,1,1
2010-04-30,1,1,1,1,1,1
2010-05-31,1,1,1,1,1,1
2010-06-30,1,1,1,1,1,1
2010-07-31,1,1,1,1,1,1
2010-08-31,1,1,1,1,1,1
2010-09-30,1,1,1,1,1,1
2010-10-31,1,1,1,1,1,1
2010-11-30,1,1,1,1,1,1
2010-12-31,1,1,1,1,1,1
2011-01-31,1,1,1,1,1,1
2011-02-28,1,1,1,1,1,1
2011-03-31,1,1,1,1,1,1
2011-04-30,1,1,1,1,1,1
2011-05-31,1,1,1,1,1,1
2011-06-30,1,1,1,1,1,1
2011-07-31,1,1,1,1,1,2
2011-08-31,1,1,1,1,1,2
2011-09-30,1,1,1,1,1,1
2011-10-31,1,1,1,1,1,1
2011-11-30,1,1,1,1,1,1
2011-12-31,1,1,1,1,1,1
2012-01-31,1,1,1,1,1,1
2012-02-29,1,1,1,1,1,1
2012-03-31,1,1,1,1,1,1
2012-04-30,1,1,1,1,1,1
2012-05-31,1,1,1,1,1,1
2012-06-30,1,1,1,1,1,1
2012-07-31,1,1,1,1,1,1
2012-08-31,1,1,1,1,1,1
2012-09-30,1,1,1,1,1,1
2012-10-31,1,1,1,1,1,1
2012-11-30,1,1,1,1,1,1
2012-12-31,1,1,1,1,1,1
2013-01-31,1,1,1,1,1,1
2013-02-28,1,1,1,1,1,1
2013-03-31,1,1,1,1,1,1
2013-04-30,1,1,1,1,1,1
2013-05-31,1,1,1,1,1,1
2013-06-30,1,1,1,1,2,1
2013-07-31,1,1,1,1,1,1
2013-08-31,1,1,1,1,1,2
2013-09-30,1,1,1,1,1,1
2013-10-31,1,1,1,1,1,1
2013-11-30,1,1,1,1,1,1
2013-12-31,1,1,1,1,1,1
2014-01-31,1,1,1,1,2,1
2014-02-28,1,1,1,1,1,1
2014-03-31,1,1,1,1,1,1
2014-04-30,1,1,1,1,1,1
2014-05-31,1,1,1,1,1,1
2014-06-30,1,1,1,1,2,1
2014-07-31,1,1,1,1,1,1
2014-08-31,1,1,1,1,2,2
2014-09-30,1,1,1,1,2,2
2014-10-31,1,1,1,1,3,2
2014-11-30,1,1,1,1,2,2
2014-12-31,2,1,1,1,3,2
2015-01-31,1,1,1,1,3,2
2015-02-28,2,1,1,1,3,3
2015-03-31,3,1,1,1,5,3
2015-04-30,2,1,1,1,4,3
2015-05-31,2,1,1,1,3,2
2015-06-30,3,1,1,1,4,4
2015-07-31,3,1,1,1,3,2
2015-08-31,3,1,1,1,4,3
2015-09-30,3,1,1,1,3,5
2015-10-31,3,1,1,1,2,7
2015-11-30,4,1,1,1,3,9
2015-12-31,2,1,1,1,2,4
2016-01-31,2,1,1,1,2,4
2016-02-29,2,2,1,1,2,3
2016-03-31,3,1,1,1,2,5
2016-04-30,3,1,1,1,2,6
2016-05-31,4,2,1,1,3,8
2016-06-30,3,1,1,1,4,3
2016-07-31,4,3,2,2,6,4
2016-08-31,2,1,1,1,3,4
2016-09-30,2,1,1,1,2,5
2016-10-31,3,1,1,1,3,6
2016-11-30,5,3,2,2,8,6
2016-12-31,6,4,4,4,7,5
2017-01-31,7,5,5,5,9,5
2017-02-28,6,4,4,3,6,5
2017-03-31,5,3,3,3,6,5
2017-04-30,5,2,2,2,7,8
2017-05-31,4,2,2,2,6,6
2017-06-30,4,2,2,2,5,4
2017-07-31,4,3,3,2,5,4
2017-08-31,3,3,3,2,4,4
2017-09-30,4,2,2,2,4,8
2017-10-31,6,3,3,2,8,10
2017-11-30,6,3,3,2,9,7
2017-12-31,5,3,3,2,6,5
2018-01-31,5,3,3,2,6,5
2018-02-28,4,2,3,2,5,5
2018-03-31,5,3,3,2,7,7
2018-04-30,6,3,3,3,8,7
2018-05-31,13,6,6,5,19,11
2018-06-30,9,4,4,4,15,10
2018-07-31,12,5,5,4,19,13
2018-08-31,52,27,26,22,90,56
2018-09-30,22,9,9,7,41,30
2018-10-31,21,8,7,6,34,23
2018-11-30,13,5,5,4,18,15
2018-12-31,10,4,4,4,12,15
2019-01-31,11,4,5,4,14,16
2019-02-28,9,4,4,3,12,11
2019-03-31,16,6,6,5,27,21
2019-04-30,20,7,7,6,35,22
2019-05-31,19,8,8,7,33,20
2019-06-30,15,6,6,5,22,17
2019-07-31,16,6,6,5,25,16
2019-08-31,16,6,6,5,25,16
2019-09-30,12,5,5,5,19,13
2019-10-31,16,8,7,5,23,18
2019-11-30,9,4,4,3,12,10
2019-12-31,10,5,5,4,14,11
2020-01-31,9,4,4,4,12,10
2020-02-29,10,5,5,4,12,11
2020-03-31,12,6,6,5,15,14
2020-04-30,11,6,6,5,12,10
2020-05-31,12,7,6,5,14,12
2020-06-30,8,5,5,4,9,9
2020-07-31,8,5,5,4,8,8
2020-08-31,17,9,9,7,18,17
2020-09-30,13,9,9,9,14,12
2020-10-31,16,12,12,11,16,15
2020-11-30,28,21,20,18,23,24
2020-12-31,13,9,10,9,11,12
2021-01-31,11,8,9,7,9,11
2021-02-28,15,11,12,9,10,14
2021-03-31,24,16,16,14,23,22
2021-04-30,17,13,14,12,14,16
2021-05-31,13,11,13,11,10,12
2021-06-30,15,13,14,11,12,13
2021-07-31,11,10,11,9,9,11
2021-08-31,11,10,11,9,9,11
2021-09-30,13,11,12,10,12,13
2021-10-31,24,21,22,19,22,22
2021-11-30,55,48,50,47,46,45
2021-12-31,100,100,100,100,100,100
2022-01-31,37,40,40,35,40,45
2022-02-28,25,28,28,25,32,32
2022-03-31,25,28,29,25,30,32
2022-04-30,15,18,19,17,18,18
2022-05-31,26,30,30,28,33,32
2022-06-30,31,35,37,33,38,40
2022-07-31,24,30,32,29,30,32
2022-08-31,20,25,26,22,24,25
2022-09-30,18,23,23,21,23,25
2022-10-31,14,20,20,18,19,20
2022-11-30,13,17,18,16,16,17
2022-12-31,10,15,16,14,13,15
2023-01-31,11,16,17,15,12,16
2023-02-28,10,15,16,15,9,13
2023-03-31,10,14,14,13,12,13
2023-04-30,12,16,16,14,13,15
2023-05-31,16,23,23,23,21,21
2023-06-30,37,56,51,52,45,41
2023-07-31,25,36,33,32,32,31
2023-08-31,18,30,27,26,24,24
2023-09-30,15,24,23,21,20,20
2023-10-31,17,27,24,23,22,22
2023-11-30,15,24,23,21,17,17
2023-12-31,12,20,19,18,13,15
