,BIST100_Value_mean,BIST100_Volume_mean,GNP(TRY),Inflation(%),Deposit_Interest(TRY),Deposit_Interest(USD),Deposit_Interest(EUR),VIX,Google_Trends,Annualized_Volatility,Volatility_Level
2005-01-31,262.26799856085523,306062194.7368421,142588339.87517,0.55,18.805,2.3975,2.5075,12.819999694824219,0,0.16697531888927325,1
2005-02-28,276.2735498046875,294449180.0,142588339.87517,0.02,18.1625,2.3725,2.3725,12.079999923706055,0,0.08035562641158085,0
2005-03-31,261.5349133831522,213298534.7826087,142588339.87517,0.26,17.1,2.465,2.41,14.020000457763672,0,0.176354053504627,1
2005-04-30,247.57085751488094,184467923.80952382,163510888.172084,0.71,16.484,2.622,2.434,15.3100004196167,0,0.1354486226509781,0
2005-05-31,247.2592392113095,203601185.7142857,163510888.172084,0.92,16.47,2.75,2.4275,13.289999961853027,0,0.13218523701813198,0
2005-06-30,262.6127743252841,187282154.54545453,163510888.172084,0.1,16.3025,2.755,2.495,12.039999961853027,0,0.10130528040419191,0
2005-07-31,284.09352492559526,237604161.9047619,186658293.14749,-0.57,16.31,2.842,2.41,11.569999694824219,0,0.07913024100534287,0
2005-08-31,293.03713600852274,209688495.45454547,186658293.14749,0.85,16.1925,2.9175,2.4050000000000002,12.600000381469727,0,0.10242745677830041,0
2005-09-30,327.5975914417614,296961022.72727275,186658293.14749,1.02,16.312,3.028,2.456,11.920000076293945,0,0.05731369293635794,0
2005-10-31,324.8032840401786,237116190.47619048,187518326.112442,1.79,16.105,3.0875,2.4075,15.319999694824219,0,0.0944027005212477,0
2005-11-30,351.471552734375,254338105.0,187518326.112442,1.4,15.855,3.2475,2.4725,12.0600004196167,0,0.06216654346339027,0
2005-12-31,384.8954545454546,250651581.8181818,187518326.112442,0.42,15.697999999999999,3.272,2.478,12.069999694824219,0,0.028382885078128892,0
2006-01-31,434.41105238970584,290490970.5882353,162557039.878678,0.75,15.219999999999999,3.4299999999999997,2.4633333333333334,12.949999809265137,0,0.04417507213724964,0
2006-02-28,453.66309960937497,273607155.0,162557039.878678,0.22,15.0175,3.4925,2.455,12.34000015258789,0,0.07596211772319501,0
2006-03-31,439.7233033288044,361910726.0869565,162557039.878678,0.27,14.74,3.318,2.5420000000000003,11.390000343322754,0,0.11301955782503759,0
2006-04-30,436.61209765625,261458015.0,194686248.320695,1.34,14.54,3.9225,2.6375,11.59000015258789,0,0.05444929997330064,0
2006-05-31,409.73795454545456,313149772.72727275,194686248.320695,1.88,14.32,4.1525,2.605,16.440000534057617,0,0.2470812100532192,1
2006-06-30,347.67954634232956,358317109.09090906,194686248.320695,0.34,15.319999999999999,4.402,2.726,13.079999923706055,0,0.2591439849539679,1
2006-07-31,352.99313895089284,246579219.04761904,218698672.851398,0.85,17.6125,4.37,2.7025,14.949999809265137,0,0.19932631133188397,1
2006-08-31,369.41018288352274,203855359.0909091,218698672.851398,-0.44,17.9175,4.4775,2.7824999999999998,12.3100004196167,0,0.12833996741196022,0
2006-09-30,374.77247395833336,228483190.47619048,218698672.851398,1.29,18.042,4.454,2.776,11.979999542236328,0,0.19222770020156066,1
2006-10-31,384.87468133223683,258920168.42105263,219815147.774252,1.27,18.11,4.6,2.735,11.100000381469727,0,0.10294756399498148,0
2006-11-30,389.2936416903409,222898622.72727272,219815147.774252,1.29,18.42,4.7,2.8049999999999997,10.90999984741211,0,0.10318984311355264,0
2006-12-31,390.10909412202386,217739638.0952381,219815147.774252,0.23,18.512,4.712,2.8739999999999997,11.5600004196167,0,0.0668476421158934,0
2007-01-31,396.91533420138893,325393288.8888889,191184952.153385,1.0,18.4175,4.665,2.9275,10.420000076293945,0,0.10661657385710813,0
2007-02-28,428.69769921875,392792680.0,191184952.153385,0.43,18.32,4.609999999999999,2.935,15.420000076293945,0,0.07304413226002313,0
2007-03-31,418.5022265625,351862036.3636364,191184952.153385,0.92,18.14,4.622,2.998,14.640000343322754,0,0.13415954765062157,0
2007-04-30,460.176302734375,425242690.0,214335139.712721,1.21,18.105,4.595,2.9675000000000002,14.220000267028809,0,0.08318143445069966,0
2007-05-31,456.70623046874994,276935850.0,214335139.712721,0.5,18.0875,4.6325,2.99,13.050000190734863,0,0.13374946874984897,0
2007-06-30,456.6689546130952,222096114.2857143,214335139.712721,-0.24,17.992,4.640000000000001,2.9859999999999998,16.229999542236328,0,0.1336490840182424,0
2007-07-31,516.4353160511364,443399536.3636364,239214245.059297,-0.73,17.9725,4.62,3.075,23.520000457763672,0,0.1543347870741666,1
2007-08-31,486.88690873579543,364836081.8181818,239214245.059297,0.02,17.812,4.704,3.16,23.3799991607666,0,0.28337668294601803,1
2007-09-30,513.4615468750001,373983780.0,239214245.059297,1.03,17.752499999999998,4.6175,3.1950000000000003,18.0,0,0.1320934549308132,0
2007-10-31,561.4746833881578,414066473.68421054,242980076.864699,1.81,17.3475,4.5024999999999995,3.2125000000000004,18.530000686645508,0,0.16955863279013006,1
2007-11-30,542.8899573863637,287859122.72727275,242980076.864699,1.95,16.868000000000002,4.356,3.2880000000000003,22.8700008392334,0,0.16606793259182584,1
2007-12-31,552.9721566611842,191505263.15789473,242980076.864699,0.22,16.8575,4.455,3.45,22.5,0,0.07467249462865987,0
2008-01-31,486.62099786931816,300727740.90909094,219835021.599962,0.8,16.5625,4.1450000000000005,3.37,26.200000762939453,0,0.159369028583019,1
2008-02-29,446.80266555059524,349137523.8095238,219835021.599962,1.29,16.234,3.322,3.3899999999999997,26.540000915527344,0,0.13330156780066288,0
2008-03-31,414.5019959077381,301310061.9047619,219835021.599962,0.96,16.27,3.1475,3.4725,25.610000610351562,0,0.23878110893384796,1
2008-04-30,422.166954985119,348856028.5714286,251530359.844791,1.68,16.2975,3.075,3.625,20.790000915527344,0,0.1799044870681046,1
2008-05-31,415.3658537946429,236601819.04761904,251530359.844791,1.49,16.734,3.066,3.71,17.829999923706055,0,0.11839428517774092,0
2008-06-30,383.1121428571428,251324185.7142857,251530359.844791,-0.36,17.4025,3.31,3.7575,23.950000762939453,0,0.11133194641357391,0
2008-07-31,367.9896518342391,383070021.73913044,270738750.636041,0.58,17.8975,3.4775,3.935,22.940000534057617,0,0.09993014368483405,0
2008-08-31,411.6900446428572,312392119.04761904,270738750.636041,-0.24,17.814,3.3579999999999997,3.978,20.649999618530273,0,0.11468215023179583,0
2008-09-30,371.03319382440475,407185714.28571427,270738750.636041,0.45,17.927500000000002,3.615,4.045,39.38999938964844,0,0.18042554199388847,1
2008-10-31,281.188248046875,618334650.0,260652364.266851,2.6,18.156,4.202,4.258,59.88999938964844,0,0.6360200790221476,1
2008-11-30,252.2487998046875,576089055.0,260652364.266851,0.83,19.325,4.735,4.5975,55.279998779296875,0,0.3455826987952226,1
2008-12-31,257.10631476151315,382679773.68421054,260652364.266851,-0.41,18.78,4.3675,4.3025,40.0,0,0.1213261548298966,0
2009-01-31,260.1689992559524,526083395.2380952,212877603.684837,0.29,15.674000000000001,3.13,3.2079999999999997,44.84000015258789,0,0.19103803399950733,1
2009-02-28,249.63149902343747,430867135.0,212877603.684837,-0.34,13.03,2.8275,2.85,46.349998474121094,0,0.13892668603543218,0
2009-03-31,241.13963867187502,513013204.54545456,212877603.684837,1.1,12.0,2.9125,2.8525,44.13999938964844,0,0.21834774293455345,1
2009-04-30,284.91085751488095,740379614.2857143,242954167.594819,0.02,11.735,2.83,2.73,36.5,0,0.2195059199025546,1
2009-05-31,338.52984066611845,953596726.3157895,242954167.594819,0.64,11.325999999999999,2.674,2.692,28.920000076293945,0,0.14624787430660752,0
2009-06-30,352.4431338778409,762390463.6363636,242954167.594819,0.11,11.3425,2.7325,2.6225,26.350000381469727,0,0.11874740006834839,0
2009-07-31,383.1594361413043,665513660.8695652,273699960.719467,0.25,11.028,2.698,2.5420000000000003,25.920000076293945,0,0.08887813546204239,0
2009-08-31,454.7855691964286,794898985.7142857,273699960.719467,-0.3,9.965,2.1475,2.12,26.010000228881836,0,0.13366545652321,0
2009-09-30,465.33555273437497,610326950.0,273699960.719467,0.39,9.1675,1.7925,1.7825,25.610000610351562,0,0.08490938391204797,0
2009-10-31,498.510236235119,710482247.6190476,276840749.606341,2.41,8.458,1.7419999999999998,1.6219999999999999,30.690000534057617,0,0.10201225145291384,0
2009-11-30,470.1525246710526,652129778.9473684,276840749.606341,1.27,8.08,1.7125,1.6,24.510000228881836,0,0.07460987303418216,0
2009-12-31,503.47729959239126,657531739.1304348,276840749.606341,0.53,8.385,1.9475,1.7625000000000002,21.68000030517578,0,0.07788567707222921,0
2010-01-31,544.67069921875,810332500.0,241906377.404408,1.85,8.176,1.8379999999999999,1.5219999999999998,24.6200008392334,0,0.09466797323097145,0
2010-02-28,519.33609765625,694899100.0,241906377.404408,1.45,7.945,1.8,1.6075,19.5,0,0.09673365750917252,0
2010-03-31,537.1831283967392,575382869.5652174,241906377.404408,0.58,8.17,1.975,1.705,17.59000015258789,0,0.06868484033598506,0
2010-04-30,585.3582868303571,644240952.3809524,280563140.106706,0.6,8.152,2.0460000000000003,1.8259999999999998,22.049999237060547,0,0.10312120501370223,0
2010-05-31,555.9215,663892500.0,280563140.106706,-0.36,8.415,2.31,1.9,32.06999969482422,0,0.20921998358292748,1
2010-06-30,555.8450887784091,429627318.1818182,280563140.106706,-0.56,8.620000000000001,2.6775,2.0475,34.540000915527344,0,0.10151119121665807,0
2010-07-31,581.5632723721591,376393318.1818182,320736256.122767,-0.48,8.379999999999999,2.38,2.048,23.5,0,0.057005014925535995,0
2010-08-31,592.1840438988095,347631000.0,320736256.122767,0.4,8.185,2.1550000000000002,1.8575,26.049999237060547,0,0.08878947629081126,0
2010-09-30,631.804001953125,479705700.0,320736256.122767,1.23,8.129999999999999,2.0300000000000002,2.005,23.700000762939453,0,0.0714210531618609,0
2010-10-31,687.871802734375,676049450.0,324458705.5213541,1.83,7.981999999999999,1.966,1.8559999999999999,21.200000762939453,0,0.13434372756299012,0
2010-11-30,685.9886697048611,609979666.6666666,324458705.5213541,0.03,8.073333333333332,2.013333333333333,1.8733333333333333,23.540000915527344,0,0.11308997167410233,0
2010-12-31,660.3713536005436,703496521.7391304,324458705.5213541,-0.3,7.9319999999999995,2.2359999999999998,2.0100000000000002,17.75,0,0.1015044656938809,0
2011-01-31,667.3545200892856,838762714.2857143,292851213.973695,0.41,7.3025,2.325,2.0925000000000002,19.530000686645508,0,0.11735565914682,0
2011-02-28,643.535603515625,707480300.0,292851213.973695,0.73,7.41,2.5975,2.2325,18.350000381469727,0,0.12190376660898422,0
2011-03-31,629.3961752717391,798190913.0434783,292851213.973695,0.42,7.6025,2.64,2.31,17.739999771118164,0,0.05980042559012779,0
2011-04-30,681.2252901785714,691469285.7142857,338785260.832416,0.87,7.843999999999999,2.696,2.272,14.75,0,0.08125663719033775,0
2011-05-31,656.4495647321428,556945571.4285715,338785260.832416,2.42,8.092500000000001,2.9175,2.4925,15.449999809265137,0,0.09552674146175165,0
2011-06-30,625.9130894886364,467575272.72727275,338785260.832416,-1.43,8.335,3.1325,2.6799999999999997,16.520000457763672,0,0.08633418762981741,0
2011-07-31,624.3451953125,383486809.52380955,384630842.028503,-0.41,8.686,3.2159999999999997,2.748,25.25,1,0.14132477172900307,0
2011-08-31,545.9680505952381,605255476.1904762,384630842.028503,0.73,8.49,3.1950000000000003,2.8375,31.6200008392334,1,0.12836753707093743,0
2011-09-30,572.9183798363096,538790333.3333334,384630842.028503,0.75,8.166,3.088,2.6599999999999997,42.959999084472656,0,0.09842246782708365,0
2011-10-31,575.3428552827381,468488333.3333333,388660298.073729,3.27,8.165,3.205,2.7975,29.959999084472656,0,0.14924507844387813,0
2011-11-30,540.907734375,473086842.1052632,388660298.073729,1.73,8.695,3.2475,2.7975,27.799999237060547,0,0.15864302660620153,1
2011-12-31,526.78150390625,374528181.8181818,388660298.073729,0.58,9.708,3.598,3.12,23.399999618530273,0,0.08380562418315686,0
2012-01-31,535.1214115767045,539210636.3636364,335737809.223866,0.56,10.0325,3.6799999999999997,3.11,19.440000534057617,0,0.08059670837241917,0
2012-02-29,602.3818117559524,642966285.7142857,335737809.223866,0.56,9.9975,3.5275,3.1475,18.43000030517578,0,0.09717245475834717,0
2012-03-31,610.2485884232955,572108681.8181819,335737809.223866,0.41,9.716,3.2840000000000003,2.726,15.5,0,0.07512592299482741,0
2012-04-30,608.434701171875,566399700.0,385033718.792665,1.52,9.7325,3.165,2.6925,17.149999618530273,0,0.059865536107501414,0
2012-05-31,571.7560458096591,421967545.45454544,385033718.792665,-0.21,9.9825,3.1425,2.645,24.059999465942383,0,0.08292000253685274,0
2012-06-30,585.8187146577382,428975380.95238096,385033718.792665,-0.9,10.272,3.18,2.778,17.079999923706055,0,0.09477988785270193,0
2012-07-31,626.8900053267045,406877318.1818182,427747163.225216,-0.23,9.8075,3.03,2.7424999999999997,18.93000030517578,0,0.05629905825086425,0
2012-08-31,653.0219453125,376511750.0,427747163.225216,0.56,9.206,2.844,2.572,17.469999313354492,0,0.059854969805142634,0
2012-09-30,674.8800078125,439943400.0,427747163.225216,1.03,8.5175,2.705,2.425,15.729999542236328,0,0.05836743740486365,0
2012-10-31,693.6545,424600550.0,432960559.630197,1.96,7.9925,2.56,2.3325,18.600000381469727,0,0.04865155474430369,0
2012-11-30,716.3164559659091,530165545.45454544,432960559.630197,0.38,7.644,2.4979999999999998,2.21,15.869999885559082,0,0.04240854093875656,0
2012-12-31,769.1981919642857,538909523.8095238,432960559.630197,0.38,7.505000000000001,2.3674999999999997,2.135,18.020000457763672,0,0.03311862621787862,0
2013-01-31,822.9827237215909,726756909.0909091,388660855.28729,1.65,7.17,2.225,2.1075,14.279999732971191,0,0.04039092377520369,0
2013-02-28,783.50404296875,556058400.0,388660855.28729,0.3,6.8675,2.105,1.9874999999999998,15.510000228881836,0,0.05103666735612476,0
2013-03-31,827.6195758928571,457890000.0,388660855.28729,0.66,6.548,1.936,1.902,12.699999809265137,0,0.042073905292933644,0
2013-04-30,842.9111830357142,470392952.38095236,444833478.532052,0.42,6.4075,1.9175,1.8775,13.520000457763672,0,0.04043418916210377,0
2013-05-31,900.9210475852273,567429863.6363636,444833478.532052,0.15,5.946,1.8060000000000003,1.75,16.299999237060547,0,0.05385464108789791,0
2013-06-30,763.11815234375,640452100.0,444833478.532052,0.76,6.1375,1.955,1.8725,16.860000610351562,1,0.1070382948463859,0
2013-07-31,743.5137398097827,551958260.8695652,494782612.901814,0.31,6.945,2.3049999999999997,2.1375,13.449999809265137,0,0.08162512504971035,0
2013-08-31,716.1578371710526,462248000.0,494782612.901814,-0.1,7.562,2.386,2.302,17.010000228881836,1,0.09683477780838384,0
2013-09-30,728.3420461309523,598430571.4285715,494782612.901814,0.77,7.987500000000001,2.48,2.3475,16.600000381469727,0,0.15937904811531514,1
2013-10-31,771.3873263888888,517226222.2222222,495150368.3861061,1.8,7.7775,2.325,2.2725,13.75,0,0.07168361522684322,0
2013-11-30,748.0150037202382,551337952.3809524,495150368.3861061,0.01,7.578,2.156,2.104,13.699999809265137,0,0.07530264244991794,0
2013-12-31,708.7450426136364,630841227.2727273,495150368.3861061,0.46,7.87,2.1925,2.12,13.720000267028809,0,0.13472318867887997,0
2014-01-31,660.0209108664773,672772045.4545455,454056288.027673,1.98,8.196,2.242,2.126,18.40999984741211,1,0.19929534702838242,1
2014-02-28,635.163,561239900.0,454056288.027673,0.43,9.975,2.1325,2.1425,14.0,0,0.10125113716225012,0
2014-03-31,646.4684691220239,558578428.5714285,454056288.027673,1.13,10.615,2.1675,2.1,13.880000114440918,0,0.09742376212484144,0
2014-04-30,726.1979017857143,634349238.0952381,490144355.245421,1.34,10.4325,2.1225,1.9874999999999998,13.40999984741211,0,0.09153359083326791,0
2014-05-31,764.9775,589187600.0,490144355.245421,0.4,9.956,1.938,1.8800000000000001,11.399999618530273,0,0.0713016229263134,0
